id,x1,x2,x3,x4,x5,y
0,1,9,8,2,6,332.7739038938621
1,0,8,0,2,7,298.0913430579184
2,9,1,1,4,2,761.1002251533521
3,7,9,2,8,6,686.1065069144173
4,2,0,0,1,0,13.357219501039987
5,6,3,2,8,1,283.55660826137233
6,2,3,8,8,5,141.90197634108648
7,6,3,1,1,6,305.4616576254737
8,2,9,4,7,8,424.51224282724564
9,8,9,8,8,0,657.3882737531582
10,7,5,9,7,3,490.5833679255628
11,7,5,3,8,7,557.4904789159608
12,8,7,9,3,2,659.546616121727
13,1,9,2,1,8,381.46141894278844
14,8,3,6,8,0,579.08544549898
15,6,2,0,5,1,253.48543576101068
16,4,1,9,7,4,143.16065649953015
17,3,9,3,5,0,142.26693824448142
18,9,3,0,6,3,804.7625617152124
19,5,9,4,2,4,372.894962106915
20,3,3,2,4,7,146.15425839915977
21,3,9,3,0,4,261.1899633007493
22,4,8,1,6,7,385.2108135281256
23,8,1,0,8,8,585.2093579272217
24,2,3,5,8,7,156.2318148178636
25,7,9,7,3,9,784.2758957592217
26,0,6,4,9,8,285.70900658203226
27,6,9,2,6,3,441.48127551205357
28,8,2,0,9,3,585.4719412590614
29,1,0,5,8,9,56.126575203263776
30,1,9,7,4,4,267.1313206821892
31,4,3,2,1,3,120.90705844207756
32,5,4,5,1,2,193.86892936005665
33,8,9,4,7,0,640.9442813573808
34,9,8,6,3,7,1050.0177658011028
35,5,9,5,6,8,539.1968830299458
36,3,2,2,9,3,106.79207522912102
37,3,8,2,3,0,112.18088180652735
38,2,3,2,6,6,125.25447592772613
39,6,1,0,1,5,242.13188874774224
40,5,3,7,9,5,260.1819492957027
41,1,4,3,2,5,116.42977689648876
42,3,6,3,9,5,237.88603384715296
43,8,7,6,0,0,579.8986703704927
44,8,2,4,9,1,581.3748034376878
45,7,2,3,9,1,409.20856852071825
46,9,2,2,9,9,856.4435107474076
47,5,9,3,1,3,328.7817499458731
48,5,6,1,8,4,300.01997630301315
49,1,6,7,9,0,103.79214467377409
50,7,3,4,6,5,454.28128459701213
51,5,9,8,7,7,517.5156243826856
52,7,0,2,4,6,369.95536140934735
53,4,8,6,3,3,257.2812985222914
54,5,4,2,6,6,273.47828178611366
55,2,2,1,9,8,124.50798718842128
56,7,7,1,8,5,575.1956214795852
57,6,1,6,8,7,303.91457403285966
58,0,8,6,2,6,284.4380607934788
59,2,2,9,2,2,65.02617785180708
60,3,7,9,9,8,372.4977253127764
61,7,6,5,5,0,419.3352521701875
62,9,4,7,7,4,865.4524329336194
63,1,2,2,1,8,80.88733616993764
64,8,3,8,3,4,608.6326460918272
65,4,5,9,8,2,196.79584281361113
66,3,6,9,8,4,226.22655248372362
67,9,3,3,5,4,820.5545625261979
68,8,1,9,7,6,599.8947964421964
69,9,4,7,7,2,833.6363765562655
70,5,0,1,4,8,148.85473073599337
71,5,7,7,2,8,429.7633791271775
72,3,8,1,7,2,193.07468671221562
73,3,1,9,9,6,124.64480591213318
74,1,5,2,3,6,167.93360025952416
75,5,4,5,1,5,241.10668988088983
76,0,8,9,9,4,264.32953912885574
77,0,7,1,5,5,217.42899626902164
78,1,9,9,9,5,334.37807421929466
79,9,8,6,4,4,959.1574622724041
80,5,8,6,2,9,505.6414234164461
81,7,4,9,5,8,539.7194464421278
82,6,9,3,0,1,342.91756953877695
83,7,4,1,4,5,462.0237037309671
84,2,3,9,7,8,175.0157993899172
85,9,1,9,2,7,795.3560811323975
86,1,4,8,2,3,99.71616460134392
87,9,0,0,9,3,774.9221063156425
88,7,7,8,4,0,436.8783877420088
89,3,2,1,7,4,101.32447832570396
90,8,6,8,3,5,707.385627764921
91,7,2,3,8,8,460.6944502525113
92,6,7,6,7,2,374.04320587622624
93,0,8,5,2,3,185.41014036276002
94,3,1,1,3,7,74.86090198398155
95,7,4,1,8,0,402.7251673730241
96,4,4,0,2,2,122.82290363698115
97,2,3,7,5,5,123.4641165628926
