comments_count,replies_count,both_count,sentence_count,word_count,basic_emotions,basic emotions_fear,basic_emotions_anger,basic_emotions_sadness,basic_emotions_joy,basic_emotions_surprise_interest,basic_emotions_disgust,emotions_of_social_evaluation,emotions_of_social_evaluation_contempt,emotions_of_social_evaluation_shame,emotions_of_social_evaluation_guilt,emotions_of_social_evaluation_embarrassment,emotions_of_social_evaluation_pride,emotions_of_social_evaluation_envy,state,state_excited,state_rest,state_estimate,state_process_execution,target
152,223,375,514,6682,114,5,9,25,14,16,45,14,1,4,2,2,5,0,51,12,39,0,0,2
306,129,435,488,4550,75,3,1,19,27,13,12,3,0,0,0,1,1,1,41,4,34,0,3,2
89,13,102,180,1373,27,0,0,1,17,7,2,0,0,0,0,0,0,0,20,0,19,0,1,1
193,87,280,336,2509,38,1,2,2,15,4,14,3,0,0,3,0,0,0,17,6,10,0,1,1
509,26,535,969,7076,229,1,5,5,182,15,21,2,0,0,0,0,1,1,90,5,59,15,11,1
262,58,320,408,2834,65,0,0,13,39,2,11,1,0,0,0,1,0,0,27,2,23,0,2,1
87,0,87,161,1016,22,0,0,3,11,3,5,0,0,0,0,0,0,0,7,0,7,0,0,1
179,61,240,203,1781,33,0,3,8,11,4,7,1,0,0,0,1,0,0,16,3,13,0,0,1
403,398,801,765,7295,115,9,1,20,43,21,21,6,2,2,0,0,1,1,82,13,67,0,2,2
2205,2865,5070,4259,49129,636,46,48,130,149,75,188,47,13,10,12,1,9,2,390,33,338,1,18,2
428,434,862,657,6702,122,18,9,26,33,9,27,5,1,0,1,3,0,0,69,1,65,0,3,2
103,41,144,129,939,26,13,0,2,5,3,3,0,0,0,0,0,0,0,4,0,4,0,0,1
126,70,196,195,1988,25,3,3,1,4,9,5,0,0,0,0,0,0,0,11,0,9,0,2,2
349,208,557,383,2241,56,0,1,5,43,6,1,0,0,0,0,0,0,0,14,0,11,0,3,1
603,249,852,1040,8081,140,2,7,20,61,21,29,2,0,1,1,0,0,0,93,10,46,6,31,1
30,0,30,31,268,8,1,0,1,5,1,0,0,0,0,0,0,0,0,3,0,3,0,0,1
23,0,23,78,848,13,2,1,4,3,1,2,2,0,0,1,0,1,0,9,4,5,0,0,2
231,261,492,481,5055,74,3,4,14,25,18,10,3,0,1,1,0,1,0,45,1,37,0,7,0
13,26,39,40,467,5,0,0,4,0,0,1,0,0,0,0,0,0,0,8,4,3,0,1,2
404,413,817,458,2819,59,2,4,1,49,2,1,0,0,0,0,0,0,0,27,1,19,0,7,1
257,77,334,461,3245,68,2,0,7,45,5,9,0,0,0,0,0,0,0,48,0,42,1,5,1
14,0,14,17,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
764,427,1191,1222,11494,180,19,7,25,74,12,43,7,2,1,1,0,1,2,107,2,97,0,8,0
180,187,367,486,4914,77,13,5,8,14,8,29,8,1,2,2,2,0,1,41,8,31,0,2,2
28,36,64,44,297,10,1,0,5,3,0,1,0,0,0,0,0,0,0,6,0,2,0,4,1
16,133,149,48,569,13,2,0,0,3,0,8,0,0,0,0,0,0,0,7,1,5,0,1,2
23,0,23,49,455,15,1,0,5,4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
12,0,12,30,251,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11,0,11,51,336,7,0,2,0,1,0,4,0,0,0,0,0,0,0,2,0,2,0,0,2
42,0,42,52,259,7,1,0,1,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1
15,7,22,19,123,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37,43,80,54,528,9,0,0,3,4,0,2,0,0,0,0,0,0,0,4,0,3,0,1,2
626,219,845,1029,8308,149,8,4,20,61,28,28,1,0,0,0,0,0,1,78,14,52,0,12,1
467,148,615,544,4224,56,0,5,6,39,3,3,0,0,0,0,0,0,0,15,2,13,0,0,1
20,7,27,33,384,6,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,1,0,0,2
10,0,10,7,75,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,65,125,127,1430,36,3,3,6,3,7,14,1,0,0,1,0,0,0,16,5,11,0,0,2
12,0,12,15,152,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2
50,57,107,89,1018,11,0,3,1,1,1,5,0,0,0,0,0,0,0,8,1,6,0,1,2
645,565,1210,746,5557,84,2,4,6,62,3,7,2,2,0,0,0,0,0,23,4,18,0,1,1
139,46,185,254,1649,28,1,0,3,20,3,1,0,0,0,0,0,0,0,13,3,8,0,2,1
14,6,20,63,780,12,2,1,0,3,0,6,2,0,0,0,2,0,0,10,1,9,0,0,2
45849,19933,65782,71291,510294,13873,942,628,2587,7624,607,1485,319,81,55,58,35,72,18,4441,774,3481,7,179,0
130,223,353,233,2636,54,3,5,6,12,2,26,3,0,0,1,1,0,1,17,2,15,0,0,2
76,0,76,126,877,37,3,0,3,13,17,1,0,0,0,0,0,0,0,7,3,3,0,1,1
92,8,100,92,799,20,4,0,2,9,1,4,0,0,0,0,0,0,0,7,0,5,1,1,1
13,0,13,18,111,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
367,241,608,713,6027,91,2,5,16,46,8,14,3,0,1,1,0,1,0,36,5,30,0,1,1
741,309,1050,894,6825,113,1,11,7,86,4,4,1,0,1,0,0,0,0,42,0,28,0,14,1
39,0,39,55,403,6,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
120,86,206,149,1178,40,1,6,8,11,1,13,0,0,0,0,0,0,0,10,2,8,0,0,2
48,15,63,83,766,10,0,1,5,3,0,1,0,0,0,0,0,0,0,5,1,2,0,2,0
28,0,28,105,1834,23,1,2,4,6,6,4,1,0,0,0,0,1,0,15,1,14,0,0,2
27,13,40,30,236,5,2,0,1,1,0,1,1,0,1,0,0,0,0,4,2,2,0,0,1
440,468,908,987,10530,142,11,16,25,39,10,41,13,7,4,2,0,0,0,68,9,56,0,3,2
40,22,62,121,2077,33,3,0,3,3,4,20,0,0,0,0,0,0,0,10,0,7,0,3,2
79,25,104,188,2117,39,8,0,4,12,6,9,0,0,0,0,0,0,0,12,2,7,0,3,1
298,184,482,903,11148,141,12,10,25,25,17,52,9,3,1,1,1,0,3,83,12,66,0,5,2
29,51,80,55,584,13,2,0,3,2,1,5,3,0,0,1,2,0,0,3,0,3,0,0,2
1152,1185,2337,2528,24979,419,37,56,77,92,50,107,22,10,4,3,1,3,1,228,49,158,1,20,2
20,0,20,30,209,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
209,266,475,392,4046,56,7,1,28,8,4,8,9,3,2,3,0,0,1,35,4,31,0,0,2
2141,1169,3310,4490,48643,848,41,26,161,331,97,192,22,3,3,4,4,6,2,351,32,280,0,39,1
2151,606,2757,4043,30101,618,10,26,56,367,62,97,22,2,0,2,7,1,10,310,33,218,4,55,1
263,267,530,332,3569,37,0,5,10,7,10,5,4,0,2,1,0,1,0,28,3,25,0,0,2
603,264,867,683,4600,119,0,1,8,96,8,6,0,0,0,0,0,0,0,49,2,40,1,6,1
425,215,640,746,6155,93,1,5,5,56,10,16,3,0,1,1,0,1,0,59,2,49,3,5,1
66,0,66,150,2228,33,0,2,1,3,4,23,3,0,0,0,1,0,2,14,2,10,0,2,2
82,150,232,284,2665,51,6,2,14,8,2,19,3,0,2,0,0,0,1,18,1,16,0,1,2
107,51,158,159,1158,31,2,1,7,16,4,1,0,0,0,0,0,0,0,10,3,5,0,2,1
41,17,58,67,643,6,0,0,1,2,0,3,2,0,2,0,0,0,0,3,0,3,0,0,2
22,15,37,36,400,3,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
88,0,88,151,1090,17,1,0,4,12,0,0,0,0,0,0,0,0,0,14,3,9,0,2,1
736,304,1040,1377,11315,171,6,2,26,91,19,27,11,2,0,1,4,0,4,96,10,74,2,10,1
33,51,84,93,1034,25,3,0,10,3,4,5,0,0,0,0,0,0,0,10,2,7,0,1,2
120,353,473,270,2715,49,6,1,13,12,2,15,3,0,1,2,0,0,0,28,4,24,0,0,2
32,29,61,97,1867,18,3,0,3,4,1,7,1,0,0,1,0,0,0,14,2,12,0,0,2
514,694,1208,895,9845,166,6,18,32,30,15,65,29,18,6,1,0,3,1,84,7,71,0,6,2
1362,580,1942,2277,16233,334,10,12,29,228,22,33,4,0,0,0,1,1,2,179,9,138,0,32,1
20,0,20,57,865,12,0,0,1,4,1,6,0,0,0,0,0,0,0,5,2,1,0,2,2
300,228,528,550,5110,82,5,3,18,26,14,16,6,0,2,2,0,2,0,44,5,36,0,3,2
376,632,1008,886,9367,187,49,8,24,58,16,32,11,9,1,0,0,0,1,94,3,85,0,6,2
2503,1643,4146,3859,33367,1116,96,44,627,150,67,132,59,43,5,7,1,2,1,360,20,327,1,12,0
956,557,1513,1680,14026,213,3,15,23,89,30,53,5,0,2,2,1,0,0,118,15,96,0,7,1
37,35,72,92,1016,15,5,0,2,1,1,6,5,0,4,1,0,0,0,6,1,5,0,0,2
21,0,21,26,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
282,44,326,322,3344,27,0,8,5,10,0,4,0,0,0,0,0,0,0,14,2,12,0,0,1
187,301,488,349,3949,66,5,1,9,14,10,27,0,0,0,0,0,0,0,27,3,19,1,4,2
212,202,414,398,4589,74,5,7,6,15,9,32,3,0,2,1,0,0,0,35,2,30,0,3,2
146,84,230,264,2864,42,4,3,7,14,6,8,4,0,1,1,0,1,1,20,5,14,0,1,2
28,6,34,165,1531,32,1,1,1,3,4,22,0,0,0,0,0,0,0,7,1,6,0,0,2
37,0,37,61,502,25,0,3,1,6,10,5,0,0,0,0,0,0,0,4,0,3,0,1,1
194,82,276,318,2824,53,4,1,8,12,3,25,3,1,1,0,0,1,0,26,6,18,0,2,2
253,101,354,295,3144,39,0,6,12,13,0,8,2,0,0,0,2,0,0,17,2,12,0,3,1
5,0,5,7,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
35,0,35,73,570,7,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,2,0,1,1
56,106,162,121,1171,25,1,4,7,6,1,6,5,4,0,0,1,0,0,7,1,6,0,0,2
367,61,428,393,3875,31,0,2,11,12,3,3,0,0,0,0,0,0,0,24,0,23,0,1,1
36,15,51,44,420,10,0,0,5,1,2,2,0,0,0,0,0,0,0,6,0,6,0,0,2
13,0,13,18,170,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,99,212,219,2657,50,5,0,5,12,0,28,0,0,0,0,0,0,0,31,4,22,0,5,2
327,249,576,690,7740,124,4,16,30,22,21,31,13,4,0,5,4,0,0,61,2,45,1,13,0
16,18,34,39,546,7,0,5,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,2
953,94,1047,1848,13997,584,7,6,16,511,4,40,4,0,0,1,1,0,2,236,2,225,0,9,1
286,159,445,509,5364,67,9,10,12,15,6,15,5,0,1,4,0,0,0,59,2,53,1,3,0
1267,923,2190,2172,19989,375,6,18,57,167,68,59,18,7,0,7,1,3,0,144,23,115,0,6,1
1692,641,2333,2907,23779,382,106,32,67,70,39,68,17,6,1,6,0,4,0,209,22,179,1,7,0
25,33,58,43,283,8,1,0,1,2,2,2,0,0,0,0,0,0,0,4,2,1,0,1,1
12,0,12,15,137,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
68,43,111,95,886,15,3,1,3,4,1,3,0,0,0,0,0,0,0,5,0,5,0,0,2
43,0,43,80,760,11,0,0,0,10,1,0,1,0,0,0,0,1,0,7,0,6,0,1,1
215,78,293,207,1962,22,0,0,4,13,0,5,0,0,0,0,0,0,0,15,0,14,0,1,1
19,16,35,35,343,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2
257,48,305,284,2746,49,2,4,8,21,6,8,0,0,0,0,0,0,0,20,1,17,0,2,1
36,0,36,61,456,10,0,2,1,7,0,0,0,0,0,0,0,0,0,6,2,3,0,1,1
368,99,467,762,7264,275,14,12,78,131,4,36,22,10,0,1,0,0,11,152,10,133,0,9,1
65,0,65,74,468,17,0,0,1,14,1,1,0,0,0,0,0,0,0,8,1,7,0,0,1
275,393,668,353,3112,31,1,1,8,5,4,12,3,0,1,0,0,0,2,28,0,28,0,0,2
159,52,211,257,2415,43,1,7,7,8,5,15,3,1,1,0,1,0,0,15,1,13,0,1,0
82,40,122,186,2223,53,5,10,12,11,5,10,11,11,0,0,0,0,0,17,4,13,0,0,2
252,308,560,589,5591,88,6,8,31,20,5,18,2,0,2,0,0,0,0,42,5,32,0,5,2
817,185,1002,1390,12832,424,1,11,273,98,15,26,3,0,0,1,0,2,0,240,4,235,0,1,1
20,0,20,49,618,11,2,0,3,2,2,2,0,0,0,0,0,0,0,3,0,3,0,0,1
790,206,996,1374,10295,264,21,20,45,108,21,49,13,8,1,1,0,0,3,122,11,108,0,3,2
2742,607,3349,5319,43654,910,7,13,113,623,29,125,11,0,0,1,0,6,4,393,15,365,2,11,1
75,86,161,229,2534,47,4,6,10,3,2,22,11,7,2,2,0,0,0,16,6,10,0,0,2
554,560,1114,967,10670,166,10,16,28,36,18,58,16,8,0,1,0,2,5,68,7,58,1,2,2
31,17,48,45,430,6,1,0,1,3,0,1,1,0,0,0,0,1,0,3,0,3,0,0,2
336,408,744,539,5819,85,15,5,9,19,7,30,8,4,1,0,1,2,0,64,17,46,0,1,2
25,12,37,99,896,12,1,0,7,1,3,0,0,0,0,0,0,0,0,14,0,13,0,1,2
1049,1557,2606,2257,25180,388,44,28,64,70,48,134,40,6,13,8,1,5,7,185,28,147,1,9,2
17,10,27,24,157,5,1,0,1,0,0,3,2,2,0,0,0,0,0,2,0,1,0,1,2
25,0,25,41,344,6,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,2
19,0,19,44,439,6,0,1,0,3,0,2,1,1,0,0,0,0,0,2,1,1,0,0,1
29,0,29,39,394,6,2,0,0,2,2,0,3,3,0,0,0,0,0,4,1,3,0,0,2
26,0,26,43,420,13,2,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
77,0,77,117,734,14,0,0,1,9,0,4,0,0,0,0,0,0,0,8,0,6,0,2,1
317,36,353,252,2637,28,0,4,6,14,1,3,0,0,0,0,0,0,0,9,0,9,0,0,1
15,0,15,23,183,6,1,0,1,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,2
118,66,184,202,1488,38,6,0,6,15,3,8,1,0,0,1,0,0,0,17,3,14,0,0,2
300,664,964,408,3890,69,6,6,18,15,0,24,3,0,1,1,0,1,0,46,8,37,0,1,2
115,101,216,523,7279,119,13,14,11,26,14,41,14,8,1,1,0,0,4,55,6,44,0,5,2
303,310,613,509,4685,96,2,11,16,27,10,30,12,4,6,1,0,1,0,43,6,33,0,4,2
1391,1302,2693,2316,21862,407,44,19,155,63,38,88,22,12,3,5,0,2,0,227,15,195,0,17,2
2100,1942,4042,3986,45388,698,55,52,153,159,73,206,63,27,11,12,0,8,5,381,54,304,2,21,2
736,102,838,1398,10986,352,5,4,21,269,10,43,3,2,0,0,0,0,1,174,12,149,0,13,1
113,145,258,208,2729,52,1,0,6,7,10,28,1,0,0,0,1,0,0,13,1,11,0,1,1
44,18,62,71,808,8,0,0,3,3,0,2,0,0,0,0,0,0,0,9,0,8,0,1,2
480,376,856,601,4402,85,2,2,5,66,5,5,2,0,0,0,1,1,0,29,6,20,0,3,1
452,598,1050,949,11790,161,12,21,24,45,11,48,35,10,12,1,2,10,0,73,8,58,1,6,2
621,637,1258,1151,11071,139,12,10,22,39,29,27,24,11,1,4,0,8,0,69,11,56,0,2,2
373,158,531,484,4008,70,8,2,16,19,7,18,1,0,1,0,0,0,0,35,1,30,0,4,2
8,0,8,8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,10,40,509,8,0,0,2,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,1
9,0,9,11,128,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
11,10,21,14,186,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
528,413,941,970,10080,159,11,16,31,45,19,37,15,0,7,3,0,4,1,77,8,66,0,3,2
334,159,493,736,6836,98,31,6,23,13,8,17,6,0,2,0,2,2,0,64,5,55,1,3,0
42,6,48,69,630,14,1,0,1,8,2,2,0,0,0,0,0,0,0,5,0,3,0,2,0
1073,1960,3033,2435,28961,423,26,33,70,113,56,125,72,25,11,5,3,20,8,242,29,202,0,11,2
20,14,34,33,461,4,0,0,0,1,1,2,0,0,0,0,0,0,0,3,0,3,0,0,2
56,81,137,142,1587,44,3,6,6,13,6,10,0,0,0,0,0,0,0,14,1,13,0,0,2
278,348,626,477,6614,91,5,9,16,31,7,23,10,2,3,2,1,0,2,58,8,47,0,3,2
347,123,470,610,4512,87,2,1,16,57,6,5,0,0,0,0,0,0,0,55,2,45,1,7,1
1448,441,1889,2365,15795,230,5,12,76,109,6,22,3,0,1,0,1,0,1,183,16,138,2,27,1
556,615,1171,1004,9423,166,10,17,26,39,27,47,20,7,4,5,2,2,0,79,13,63,0,3,2
45,0,45,121,1271,7,0,0,0,2,2,3,3,2,0,0,1,0,0,9,1,8,0,0,1
1227,1839,3066,2464,26915,418,29,46,82,100,52,109,38,15,3,8,1,7,4,193,46,136,0,11,2
828,490,1318,1378,12878,235,24,20,38,50,18,85,30,9,8,6,1,5,1,129,6,120,0,3,2
597,395,992,1105,9629,153,15,5,18,47,19,49,15,3,1,1,0,10,0,81,7,68,0,6,2
25,0,25,38,683,12,3,0,1,4,1,3,0,0,0,0,0,0,0,12,4,8,0,0,2
19609,5461,25070,28424,240018,5016,173,256,993,1849,700,1045,341,85,115,34,79,16,12,1713,328,1253,8,124,0
114,61,175,242,1911,38,4,1,10,9,5,9,2,0,0,2,0,0,0,18,5,12,0,1,2
70,0,70,171,1323,26,8,1,1,4,2,10,1,0,1,0,0,0,0,17,2,15,0,0,2
310,178,488,343,3637,32,0,1,13,16,0,2,0,0,0,0,0,0,0,13,0,13,0,0,1
12,19,31,33,541,6,1,0,2,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,2
6,0,6,6,43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
434,443,877,1149,11170,189,29,19,46,37,10,48,36,17,9,5,2,2,1,137,17,113,0,7,2
1215,365,1580,2166,14838,297,3,13,80,153,22,26,2,0,1,0,0,1,0,177,17,153,1,6,1
229,25,254,416,3038,70,4,3,6,37,10,10,1,0,0,0,0,1,0,78,10,65,0,3,1
277,114,391,288,2164,19,1,0,3,14,0,1,0,0,0,0,0,0,0,11,0,11,0,0,1
205,73,278,291,2862,50,2,1,5,24,11,7,2,0,1,1,0,0,0,22,2,18,1,1,1
67,20,87,76,613,14,0,0,0,10,3,1,1,0,1,0,0,0,0,9,0,8,0,1,1
124,152,276,201,2584,40,1,8,2,10,7,12,0,0,0,0,0,0,0,34,7,25,0,2,2
1496,1585,3081,2501,22305,381,38,41,78,97,36,91,38,8,9,11,6,4,0,197,33,157,0,7,0
1387,232,1619,2106,14357,275,5,8,25,177,16,44,4,0,1,1,1,1,0,186,12,131,6,37,1
103,78,181,192,2090,38,2,6,3,6,2,19,0,0,0,0,0,0,0,13,5,6,0,2,2
1207,413,1620,2362,17507,308,6,1,95,155,24,27,3,0,1,0,1,0,1,175,9,151,0,15,1
164,89,253,251,2394,57,5,5,9,17,4,17,2,0,1,0,0,0,1,27,5,19,0,3,2
828,911,1739,1353,13096,251,15,37,50,49,30,70,12,3,0,3,1,4,1,115,31,78,1,5,2
105,16,121,159,1094,28,0,0,0,12,10,6,0,0,0,0,0,0,0,8,2,5,0,1,1
1388,681,2069,2199,18474,407,14,9,58,236,49,41,7,0,0,0,5,0,2,222,12,174,6,30,1
440,299,739,878,8591,130,12,11,25,43,13,26,15,3,1,6,1,3,1,99,10,86,0,3,2
37,33,70,104,1692,23,1,0,0,4,2,16,0,0,0,0,0,0,0,13,3,7,0,3,2
53,0,53,95,604,17,0,0,4,9,2,2,0,0,0,0,0,0,0,9,0,9,0,0,1
76,0,76,111,692,15,0,0,1,8,4,2,0,0,0,0,0,0,0,6,0,6,0,0,1
436,322,758,481,3654,32,0,0,6,21,3,2,0,0,0,0,0,0,0,28,0,25,0,3,1
412,377,789,808,8938,116,13,11,27,17,10,38,7,1,0,3,1,2,0,106,13,91,0,2,2
13,7,20,16,120,2,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,2,0,0,2
86,0,86,104,589,8,0,0,0,3,4,1,1,0,0,0,0,1,0,7,4,2,0,1,1
185,110,295,326,2330,59,4,0,5,39,4,7,0,0,0,0,0,0,0,32,4,22,0,6,1
15,0,15,15,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0,15,20,178,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1
7,0,7,11,105,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1738,1983,3721,3260,34425,587,45,67,98,127,57,193,46,15,8,13,3,4,3,326,50,262,0,14,2
4,0,4,7,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22082,9331,31413,40068,437725,7122,296,467,1445,2390,1192,1332,264,33,62,34,69,31,35,3040,336,2471,17,216,0
2440,420,2860,2186,14061,188,0,7,8,146,10,17,2,0,0,0,2,0,0,43,0,39,0,4,1
30,0,30,81,948,19,0,0,1,12,4,2,1,0,1,0,0,0,0,7,3,4,0,0,1
41,36,77,79,742,13,2,0,3,2,1,5,0,0,0,0,0,0,0,8,0,8,0,0,2
161,19,180,233,1689,42,3,3,6,12,2,16,2,0,2,0,0,0,0,13,6,7,0,0,2
796,237,1033,1510,9697,148,4,2,15,100,10,17,4,0,0,0,4,0,0,118,18,85,0,15,1
341,304,645,897,8703,134,20,17,12,24,15,46,11,0,4,2,1,4,0,86,9,71,2,4,2
208,196,404,283,2923,40,2,0,9,19,3,7,4,0,3,0,0,1,0,37,4,32,0,1,2
67,0,67,94,714,19,0,0,3,14,1,1,0,0,0,0,0,0,0,13,1,11,0,1,1
181,50,231,207,1602,22,0,3,3,14,1,1,0,0,0,0,0,0,0,8,0,7,0,1,1
1390,1754,3144,2628,26571,469,46,57,98,87,51,130,48,23,13,4,3,3,2,226,57,164,0,5,2
